2026-03-05 15:38:11.459 | INFO     | src.wechat_listener:__init__:55 -   已处理文件: 5
2026-03-05 15:38:11.459 | INFO     | src.wechat_listener:__init__:56 -   说明: 请将要处理的图片放到此目录
2026-03-05 15:38:11.459 | INFO     | src.wechat_listener:__init__:57 -   支持格式: .jpg, .jpeg, .png, .bmp, .gif, .webp, .txt
2026-03-05 15:38:11.460 | INFO     | __main__:main:84 - 正在初始化其他模块...
2026-03-05 15:38:12.552 | INFO     | src.llm_vision_parser:__init__:74 - ✓ LLM 解析器已初始化: qwen-vl-plus
2026-03-05 15:38:12.552 | INFO     | __main__:main:93 - ✓ 大模型解析模块初始化完成
2026-03-05 15:38:12.552 | INFO     | __main__:main:99 - ✓ 图片处理模块初始化完成
2026-03-05 15:38:12.553 | INFO     | src.excel_engine:__init__:50 - ✓ Excel 生成器初始化完成，输出目录: data/output_excel
2026-03-05 15:38:12.553 | INFO     | __main__:main:102 - ✓ Excel 生成模块初始化完成
2026-03-05 15:38:12.553 | INFO     | __main__:main:104 - ------------------------------------------------------------
2026-03-05 15:38:12.554 | INFO     | __main__:main:105 - 系统初始化成功！开始监听消息...
2026-03-05 15:38:12.554 | INFO     | __main__:main:106 - 输出目录: data/output_excel
2026-03-05 15:38:12.554 | INFO     | __main__:main:107 - ------------------------------------------------------------
2026-03-05 15:38:12.555 | INFO     | __main__:main:120 - 
💡 本地文件模式提示：
2026-03-05 15:38:12.556 | INFO     | __main__:main:121 -    请将要处理的图片文件放到: data/temp_images
2026-03-05 15:38:12.556 | INFO     | __main__:main:122 -    支持的图片格式: .jpg, .jpeg, .png, .bmp, .gif, .webp
2026-03-05 15:38:12.556 | INFO     | __main__:main:123 -    支持的文本格式: .txt
2026-03-05 15:38:12.556 | INFO     | __main__:main:124 - 
2026-03-05 15:39:04.685 | INFO     | __main__:main:135 - 
📬 收到 1 条待处理消息
2026-03-05 15:39:04.686 | INFO     | __main__:main:139 - 【1/1】处理来自【LocalFile】的image信息...
2026-03-05 15:39:04.749 | INFO     | src.image_processor:preprocess_image:67 - 原始图片尺寸: 1440x1064
2026-03-05 15:39:04.750 | INFO     | src.image_processor:preprocess_image:79 - 执行降噪processing...
2026-03-05 15:39:04.839 | INFO     | src.image_processor:preprocess_image:83 - 执行对比度增强...
